iter	Passed	Remaining
0	1	135
1	2	118
2	3	112
3	4	103
4	5	102
5	6	101
6	7	99
7	8	98
8	9	98
9	10	96
10	11	95
11	13	96
12	14	96
13	15	96
14	16	95
15	17	94
16	19	94
17	20	93
18	21	93
19	22	91
20	24	90
21	25	89
22	26	87
23	27	86
24	28	84
25	29	83
26	30	82
27	31	81
28	32	80
29	33	79
30	34	77
31	36	76
32	37	75
33	38	74
34	39	73
35	40	71
36	41	70
37	42	69
38	43	68
39	44	66
40	45	65
41	45	63
42	47	62
43	48	61
44	49	60
45	50	58
46	51	57
47	52	56
48	53	55
49	54	54
50	55	53
51	56	52
52	57	51
53	58	50
54	59	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	43
60	65	42
61	66	41
62	67	39
63	68	38
64	70	37
65	71	36
66	72	35
67	73	34
68	74	33
69	75	32
70	76	31
71	77	30
72	78	29
73	79	28
74	81	27
75	82	25
76	83	24
77	84	23
78	85	22
79	86	21
80	87	20
81	88	19
82	89	18
83	90	17
84	91	16
85	92	15
86	93	14
87	94	12
88	95	11
89	97	10
90	98	9
91	99	8
92	100	7
93	101	6
94	102	5
95	103	4
96	104	3
97	105	2
98	106	1
99	107	0
